asset_id,hostname,os,department,type
AST000000,host-00000.corp.example,macos-14,engineering,container_host
AST000001,host-00001.corp.example,macos-14,sales,laptop
AST000002,host-00002.corp.example,rhel-9,engineering,server
AST000003,host-00003.corp.example,windows-11,engineering,vm
AST000004,host-00004.corp.example,ubuntu-22,sales,server
AST000005,host-00005.corp.example,windows-11,legal,server
AST000006,host-00006.corp.example,ubuntu-22,sales,vm
AST000007,host-00007.corp.example,ubuntu-22,legal,laptop
AST000008,host-00008.corp.example,macos-14,sales,server
AST000009,host-00009.corp.example,macos-14,sales,laptop
AST000010,host-00010.corp.example,windows-11,sales,laptop
AST000011,host-00011.corp.example,macos-14,sales,vm
AST000012,host-00012.corp.example,windows-11,sales,vm
AST000013,host-00013.corp.example,windows-11,sales,container_host
AST000014,host-00014.corp.example,windows-11,exec,laptop
AST000015,host-00015.corp.example,rhel-9,hr,vm
AST000016,host-00016.corp.example,windows-11,hr,server
AST000017,host-00017.corp.example,windows-11,exec,vm
AST000018,host-00018.corp.example,rhel-9,exec,laptop
AST000019,host-00019.corp.example,windows-11,hr,container_host
AST000020,host-00020.corp.example,rhel-9,exec,laptop
AST000021,host-00021.corp.example,rhel-9,exec,container_host
AST000022,host-00022.corp.example,windows-11,engineering,vm
AST000023,host-00023.corp.example,ubuntu-22,engineering,server
AST000024,host-00024.corp.example,macos-14,legal,vm
AST000025,host-00025.corp.example,rhel-9,legal,vm
AST000026,host-00026.corp.example,rhel-9,legal,container_host
AST000027,host-00027.corp.example,windows-11,exec,laptop
AST000028,host-00028.corp.example,ubuntu-22,hr,container_host
AST000029,host-00029.corp.example,ubuntu-22,hr,vm
AST000030,host-00030.corp.example,rhel-9,hr,container_host
AST000031,host-00031.corp.example,windows-11,finance,container_host
AST000032,host-00032.corp.example,macos-14,exec,vm
AST000033,host-00033.corp.example,macos-14,sales,container_host
AST000034,host-00034.corp.example,windows-11,engineering,laptop
AST000035,host-00035.corp.example,windows-11,hr,laptop
AST000036,host-00036.corp.example,macos-14,sales,laptop
AST000037,host-00037.corp.example,macos-14,exec,laptop
AST000038,host-00038.corp.example,rhel-9,finance,container_host
AST000039,host-00039.corp.example,windows-11,finance,vm
AST000040,host-00040.corp.example,macos-14,engineering,server
AST000041,host-00041.corp.example,ubuntu-22,exec,container_host
AST000042,host-00042.corp.example,ubuntu-22,engineering,vm
AST000043,host-00043.corp.example,macos-14,engineering,vm
AST000044,host-00044.corp.example,ubuntu-22,hr,laptop
AST000045,host-00045.corp.example,macos-14,engineering,server
AST000046,host-00046.corp.example,macos-14,exec,vm
AST000047,host-00047.corp.example,macos-14,finance,laptop
AST000048,host-00048.corp.example,ubuntu-22,sales,container_host
AST000049,host-00049.corp.example,windows-11,sales,laptop
AST000050,host-00050.corp.example,windows-11,exec,server
AST000051,host-00051.corp.example,rhel-9,hr,container_host
AST000052,host-00052.corp.example,macos-14,sales,vm
AST000053,host-00053.corp.example,macos-14,exec,vm
AST000054,host-00054.corp.example,windows-11,engineering,server
AST000055,host-00055.corp.example,ubuntu-22,legal,laptop
AST000056,host-00056.corp.example,windows-11,finance,container_host
AST000057,host-00057.corp.example,rhel-9,hr,container_host
AST000058,host-00058.corp.example,rhel-9,finance,server
AST000059,host-00059.corp.example,windows-11,finance,container_host
AST000060,host-00060.corp.example,windows-11,finance,container_host
AST000061,host-00061.corp.example,macos-14,engineering,server
AST000062,host-00062.corp.example,rhel-9,legal,laptop
AST000063,host-00063.corp.example,windows-11,sales,vm
AST000064,host-00064.corp.example,ubuntu-22,sales,vm
AST000065,host-00065.corp.example,macos-14,finance,laptop
AST000066,host-00066.corp.example,windows-11,hr,container_host
AST000067,host-00067.corp.example,ubuntu-22,sales,container_host
AST000068,host-00068.corp.example,ubuntu-22,legal,vm
AST000069,host-00069.corp.example,windows-11,hr,laptop
AST000070,host-00070.corp.example,rhel-9,engineering,container_host
AST000071,host-00071.corp.example,windows-11,finance,container_host
AST000072,host-00072.corp.example,rhel-9,exec,container_host
AST000073,host-00073.corp.example,macos-14,engineering,container_host
AST000074,host-00074.corp.example,windows-11,finance,server
AST000075,host-00075.corp.example,rhel-9,exec,vm
AST000076,host-00076.corp.example,windows-11,hr,laptop
AST000077,host-00077.corp.example,ubuntu-22,hr,container_host
AST000078,host-00078.corp.example,windows-11,hr,vm
AST000079,host-00079.corp.example,macos-14,sales,vm
AST000080,host-00080.corp.example,ubuntu-22,engineering,laptop
