campaign_id,name,channel,start_date,end_date,budget_usd,impressions
CMP0000,Blue Email 2024,sms,2026-05-28,2025-12-29,221543.95,1592543
CMP0001,SaddleBrown Email 2025,email,2025-03-16,2025-09-14,498559.19,1119353
CMP0002,MidnightBlue SMS 2024,push,2024-11-28,2026-12-14,84700.11,3410813
CMP0003,Maroon Push 2025,sms,2025-05-11,2025-07-22,289191.67,3948483
CMP0004,PeachPuff Email 2024,email,2025-01-22,2025-07-10,68958.35,4221844
CMP0005,LightSkyBlue Push 2025,email,2025-02-04,2026-01-10,72589.99,3093865
CMP0006,LightSteelBlue Banner 2024,sms,2025-12-28,2026-10-20,397881.65,4798694
CMP0007,LightCyan Push 2025,push,2025-04-28,2026-07-04,20191.07,3100046
CMP0008,ForestGreen Push 2024,social,2024-10-05,2026-06-24,20384.86,3971447
CMP0009,DeepPink Email 2025,banner,2024-10-25,2027-03-21,443985.31,2579373
CMP0010,LightSkyBlue Banner 2024,social,2025-05-30,2026-12-28,335513.0,3836780
CMP0011,SpringGreen SMS 2025,banner,2024-06-25,2026-01-25,339495.23,2612476
CMP0012,Crimson Push 2024,social,2026-03-21,2026-08-28,417849.68,1012651
CMP0013,GoldenRod SMS 2025,email,2025-01-23,2025-09-20,350397.71,4464315
CMP0014,Azure Push 2024,push,2024-06-08,2024-11-06,426588.92,2372203
CMP0015,Coral SMS 2025,social,2025-09-04,2027-03-28,205081.78,2226478
CMP0016,Linen SMS 2024,banner,2024-12-15,2026-08-19,62201.07,3397173
CMP0017,Maroon Banner 2025,social,2025-07-14,2024-08-10,88405.69,1224990
CMP0018,LightGoldenRodYellow SMS 2024,social,2024-08-24,2024-10-23,279866.25,1258216
CMP0019,LightSkyBlue SMS 2025,banner,2024-10-02,2024-10-05,214994.68,209863
CMP0020,MediumBlue Push 2024,push,2026-05-11,2025-09-25,446200.89,3140461
CMP0021,DarkBlue Email 2025,sms,2026-03-05,2026-04-30,439083.73,4423003
CMP0022,Blue Email 2024,sms,2025-03-21,2026-01-26,137186.94,4557077
CMP0023,Teal Banner 2025,social,2025-05-21,2025-10-19,106752.89,3019193
CMP0024,DeepPink SMS 2024,sms,2025-01-27,2025-12-16,299987.37,2187665
CMP0025,LawnGreen SMS 2025,email,2026-03-21,2027-01-10,17367.38,1173184
CMP0026,Brown Email 2024,push,2026-02-20,2025-06-04,158209.69,1657086
CMP0027,Crimson Push 2025,sms,2024-11-09,2027-04-07,445500.25,748444
CMP0028,DodgerBlue Push 2024,sms,2025-08-26,2026-07-17,8947.13,2880907
CMP0029,IndianRed Email 2025,push,2025-12-23,2026-12-09,225063.87,4751937
CMP0030,PapayaWhip SMS 2024,social,2026-01-18,2025-02-09,373316.98,2960889
CMP0031,LawnGreen Push 2025,banner,2024-07-27,2026-12-29,330953.89,3568616
CMP0032,HotPink SMS 2024,social,2025-01-12,2026-09-24,383711.47,4109340
CMP0033,Khaki Banner 2025,banner,2026-03-22,2025-01-29,204248.49,432544
CMP0034,Indigo Banner 2024,sms,2026-03-14,2027-02-21,120639.92,3824934
CMP0035,PaleTurquoise SMS 2025,social,2025-03-13,2025-12-27,237412.26,3094770
CMP0036,Sienna SMS 2024,email,2024-06-28,2024-08-07,186417.47,3972524
CMP0037,AntiqueWhite Banner 2025,email,2025-11-20,2025-04-22,368341.69,4235820
CMP0038,SlateBlue Banner 2024,social,2025-11-15,2027-03-09,200800.17,4409293
CMP0039,Red Push 2025,sms,2026-03-13,2025-03-24,213098.98,853579
CMP0040,Gray Banner 2024,banner,2024-08-20,2024-11-13,432000.52,1563701
CMP0041,Chartreuse SMS 2025,push,2024-10-26,2026-05-06,465877.09,4864435
CMP0042,LightGray Banner 2024,email,2024-09-03,2027-03-05,369391.82,392072
CMP0043,Lime Push 2025,banner,2025-10-11,2026-01-05,256552.35,4555076
CMP0044,BlueViolet SMS 2024,social,2026-02-01,2024-06-23,185644.53,566709
CMP0045,Blue Banner 2025,social,2026-06-03,2027-06-07,88031.92,3643752
CMP0046,PeachPuff Banner 2024,push,2026-01-13,2027-02-18,369715.85,1830803
CMP0047,SkyBlue Push 2025,email,2026-02-24,2025-08-07,477220.73,4976504
CMP0048,YellowGreen SMS 2024,push,2025-07-28,2026-10-29,486881.4,677467
CMP0049,PaleGreen Banner 2025,email,2025-06-07,2025-06-20,345210.0,1753979
CMP0050,MediumVioletRed Email 2024,social,2026-04-19,2025-03-06,397071.06,1105631
CMP0051,PaleVioletRed SMS 2025,social,2025-05-17,2025-05-14,264409.02,1471911
CMP0052,DarkGoldenRod Email 2024,sms,2025-01-12,2025-12-05,484987.47,28391
CMP0053,Olive Banner 2025,banner,2026-01-25,2027-01-07,207781.86,3780919
CMP0054,Blue Email 2024,sms,2025-11-29,2026-06-02,12795.7,2161862
CMP0055,LightBlue Email 2025,push,2026-05-03,2026-01-22,344566.59,1474839
CMP0056,MediumOrchid Email 2024,email,2025-11-04,2024-09-07,204335.98,4400882
CMP0057,Cyan SMS 2025,email,2024-07-15,2027-06-02,462247.22,3708474
