date,from_ccy,to_ccy,rate
2024-01-01,USD,EUR,62.6237
2024-01-01,USD,JPY,195.7986
2024-01-01,USD,GBP,38.4434
2024-01-01,USD,CNY,30.9894
2024-01-01,USD,INR,121.6674
2024-01-02,USD,EUR,74.1715
2024-01-02,USD,JPY,17.8464
2024-01-02,USD,GBP,197.855
2024-01-02,USD,CNY,133.5761
2024-01-02,USD,INR,187.0897
2024-01-03,USD,EUR,113.7693
2024-01-03,USD,JPY,179.6051
2024-01-03,USD,GBP,111.6199
2024-01-03,USD,CNY,5.6026
2024-01-03,USD,INR,161.1495
2024-01-04,USD,EUR,135.5358
2024-01-04,USD,JPY,133.6891
2024-01-04,USD,GBP,162.0928
2024-01-04,USD,CNY,40.0282
2024-01-04,USD,INR,11.3598
2024-01-05,USD,EUR,109.3811
2024-01-05,USD,JPY,107.9302
2024-01-05,USD,GBP,42.8773
2024-01-05,USD,CNY,199.7449
2024-01-05,USD,INR,59.1646
2024-01-06,USD,EUR,100.0161
2024-01-06,USD,JPY,91.8525
2024-01-06,USD,GBP,124.9286
2024-01-06,USD,CNY,10.5343
2024-01-06,USD,INR,195.4095
2024-01-07,USD,EUR,101.4031
2024-01-07,USD,JPY,62.4854
2024-01-07,USD,GBP,80.1481
2024-01-07,USD,CNY,196.1181
2024-01-07,USD,INR,75.7685
2024-01-08,USD,EUR,62.0672
2024-01-08,USD,JPY,112.6206
2024-01-08,USD,GBP,86.5702
2024-01-08,USD,CNY,137.0146
2024-01-08,USD,INR,1.4723
2024-01-09,USD,EUR,193.5671
2024-01-09,USD,JPY,126.9396
2024-01-09,USD,GBP,42.4671
2024-01-09,USD,CNY,81.9907
2024-01-09,USD,INR,32.1744
2024-01-10,USD,EUR,136.6142
2024-01-10,USD,JPY,71.5182
2024-01-10,USD,GBP,145.8909
2024-01-10,USD,CNY,106.1108
2024-01-10,USD,INR,67.4104
2024-01-11,USD,EUR,36.5631
2024-01-11,USD,JPY,157.5324
2024-01-11,USD,GBP,85.7211
2024-01-11,USD,CNY,114.3874
2024-01-11,USD,INR,158.655
2024-01-12,USD,EUR,75.7122
2024-01-12,USD,JPY,113.3303
2024-01-12,USD,GBP,170.1303
2024-01-12,USD,CNY,42.5377
2024-01-12,USD,INR,182.6641
2024-01-13,USD,EUR,28.9793
2024-01-13,USD,JPY,89.8612
2024-01-13,USD,GBP,163.0162
2024-01-13,USD,CNY,97.8244
2024-01-13,USD,INR,126.5854
2024-01-14,USD,EUR,61.1819
2024-01-14,USD,JPY,165.6678
2024-01-14,USD,GBP,82.8675
2024-01-14,USD,CNY,108.2893
2024-01-14,USD,INR,143.664
2024-01-15,USD,EUR,142.4651
2024-01-15,USD,JPY,94.9785
2024-01-15,USD,GBP,11.443
2024-01-15,USD,CNY,136.5638
2024-01-15,USD,INR,93.7712
2024-01-16,USD,EUR,38.8912
2024-01-16,USD,JPY,134.5588
2024-01-16,USD,GBP,48.5722
2024-01-16,USD,CNY,127.7877
2024-01-16,USD,INR,175.1101
2024-01-17,USD,EUR,195.6391
2024-01-17,USD,JPY,83.5294
2024-01-17,USD,GBP,21.5184
2024-01-17,USD,CNY,71.0109
2024-01-17,USD,INR,187.4995
2024-01-18,USD,EUR,60.0033
2024-01-18,USD,JPY,145.9091
2024-01-18,USD,GBP,77.5739
2024-01-18,USD,CNY,109.5958
2024-01-18,USD,INR,196.0739
2024-01-19,USD,EUR,174.0827
2024-01-19,USD,JPY,79.4732
2024-01-19,USD,GBP,100.6796
2024-01-19,USD,CNY,110.005
2024-01-19,USD,INR,151.6714
2024-01-20,USD,EUR,149.3689
2024-01-20,USD,JPY,139.2317
2024-01-20,USD,GBP,191.1679
2024-01-20,USD,CNY,188.558
2024-01-20,USD,INR,123.4067
2024-01-21,USD,EUR,34.2974
2024-01-21,USD,JPY,194.3867
2024-01-21,USD,GBP,121.0121
2024-01-21,USD,CNY,197.0035
2024-01-21,USD,INR,177.954
2024-01-22,USD,EUR,150.9054
2024-01-22,USD,JPY,136.1961
2024-01-22,USD,GBP,159.3647
2024-01-22,USD,CNY,130.1771
2024-01-22,USD,INR,181.861
2024-01-23,USD,EUR,72.3652
2024-01-23,USD,JPY,104.2682
2024-01-23,USD,GBP,85.7352
2024-01-23,USD,CNY,141.6016
2024-01-23,USD,INR,83.709
2024-01-24,USD,EUR,17.7922
2024-01-24,USD,JPY,133.6106
2024-01-24,USD,GBP,54.978
2024-01-24,USD,CNY,170.0938
2024-01-24,USD,INR,195.0159
2024-01-25,USD,EUR,45.9577
2024-01-25,USD,JPY,131.3269
2024-01-25,USD,GBP,173.831
2024-01-25,USD,CNY,109.1204
2024-01-25,USD,INR,109.1189
2024-01-26,USD,EUR,24.7004
2024-01-26,USD,JPY,116.0708
2024-01-26,USD,GBP,38.5275
2024-01-26,USD,CNY,94.0487
2024-01-26,USD,INR,117.3306
2024-01-27,USD,EUR,160.9979
2024-01-27,USD,JPY,129.2576
2024-01-27,USD,GBP,158.1021
2024-01-27,USD,CNY,41.0965
2024-01-27,USD,INR,193.1285
2024-01-28,USD,EUR,120.6923
2024-01-28,USD,JPY,157.1173
2024-01-28,USD,GBP,126.5117
2024-01-28,USD,CNY,122.1793
2024-01-28,USD,INR,161.5071
2024-01-29,USD,EUR,18.6663
2024-01-29,USD,JPY,134.853
2024-01-29,USD,GBP,31.9716
2024-01-29,USD,CNY,186.1108
2024-01-29,USD,INR,6.0467
2024-01-30,USD,EUR,77.4184
2024-01-30,USD,JPY,19.6121
2024-01-30,USD,GBP,152.9942
2024-01-30,USD,CNY,36.4859
2024-01-30,USD,INR,1.6778
2024-01-31,USD,EUR,31.0813
2024-01-31,USD,JPY,116.1981
2024-01-31,USD,GBP,73.0806
2024-01-31,USD,CNY,43.6417
2024-01-31,USD,INR,185.672
2024-02-01,USD,EUR,48.852
2024-02-01,USD,JPY,165.281
2024-02-01,USD,GBP,127.6134
2024-02-01,USD,CNY,137.3038
2024-02-01,USD,INR,135.9384
2024-02-02,USD,EUR,58.5722
2024-02-02,USD,JPY,1.4717
2024-02-02,USD,GBP,110.886
2024-02-02,USD,CNY,16.3701
2024-02-02,USD,INR,97.2643
2024-02-03,USD,EUR,37.1264
2024-02-03,USD,JPY,24.8775
2024-02-03,USD,GBP,119.1635
